tran_id,store_id,member_id,tran_dt
2022-01-06T07:10:04.512123_2,2,1568,2022-01-06
2022-01-07T07:10:04.512123_0,2,1298,2022-01-07
2022-01-07T07:10:04.512123_1,3,1346,2022-01-07
2022-01-07T07:10:04.512123_2,3,1595,2022-01-07
2022-01-08T07:10:04.512123_0,3,1074,2022-01-08
2022-01-08T07:10:04.512123_1,3,1165,2022-01-08
2022-01-08T07:10:04.512123_2,1,1520,2022-01-08
2022-01-08T07:10:04.512123_3,3,1194,2022-01-08
2022-01-08T07:10:04.512123_4,3,1928,2022-01-08
2022-01-08T07:10:04.512123_5,2,1625,2022-01-08
2022-01-08T07:10:04.512123_6,1,1489,2022-01-08
2022-01-08T07:10:04.512123_7,3,1513,2022-01-08
2022-01-08T07:10:04.513122_10,3,1366,2022-01-08
2022-01-08T07:10:04.513122_11,2,1997,2022-01-08
2022-01-08T07:10:04.513122_12,2,1030,2022-01-08
2022-01-08T07:10:04.513122_13,3,1101,2022-01-08
2022-01-08T07:10:04.513122_14,3,1898,2022-01-08
2022-01-08T07:10:04.513122_15,3,1923,2022-01-08
2022-01-08T07:10:04.513122_16,2,1361,2022-01-08
2022-01-08T07:10:04.513122_17,1,1294,2022-01-08
2022-01-08T07:10:04.513122_8,1,1942,2022-01-08
2022-01-08T07:10:04.513122_9,3,1030,2022-01-08
2022-01-09T07:10:04.513122_0,1,1701,2022-01-09
2022-01-09T07:10:04.513122_1,1,1413,2022-01-09
2022-01-09T07:10:04.513122_10,2,1513,2022-01-09
2022-01-09T07:10:04.513122_11,2,1292,2022-01-09
2022-01-09T07:10:04.513122_12,1,1684,2022-01-09
2022-01-09T07:10:04.513122_13,2,1454,2022-01-09
2022-01-09T07:10:04.513122_14,1,1292,2022-01-09
2022-01-09T07:10:04.513122_15,1,1234,2022-01-09
2022-01-09T07:10:04.513122_16,1,1013,2022-01-09
2022-01-09T07:10:04.513122_17,3,1489,2022-01-09
2022-01-09T07:10:04.513122_18,1,1422,2022-01-09
2022-01-09T07:10:04.513122_19,1,1697,2022-01-09
2022-01-09T07:10:04.513122_2,2,1595,2022-01-09
2022-01-09T07:10:04.513122_20,2,1972,2022-01-09
2022-01-09T07:10:04.513122_21,3,1282,2022-01-09
2022-01-09T07:10:04.513122_22,1,1454,2022-01-09
2022-01-09T07:10:04.513122_3,3,1402,2022-01-09
2022-01-09T07:10:04.513122_4,1,1292,2022-01-09
2022-01-09T07:10:04.513122_5,3,1030,2022-01-09
2022-01-09T07:10:04.513122_6,3,1684,2022-01-09
2022-01-09T07:10:04.513122_7,1,1761,2022-01-09
2022-01-09T07:10:04.513122_8,3,1765,2022-01-09
2022-01-09T07:10:04.513122_9,2,1625,2022-01-09
2022-01-10T07:10:04.513122_0,2,1489,2022-01-10
2022-01-10T07:10:04.513122_1,2,1294,2022-01-10
2022-01-11T07:10:04.513122_0,3,1697,2022-01-11
2022-01-11T07:10:04.513122_1,2,1335,2022-01-11
2022-01-11T07:10:04.513122_2,2,1361,2022-01-11
2022-01-11T07:10:04.513122_3,2,1580,2022-01-11
2022-01-11T07:10:04.513122_4,1,1422,2022-01-11
2022-01-11T07:10:04.513122_5,1,1928,2022-01-11
2022-01-11T07:10:04.513122_6,1,1580,2022-01-11
2022-01-12T07:10:04.513122_0,1,1967,2022-01-12
2022-01-12T07:10:04.513122_1,2,1513,2022-01-12
2022-01-12T07:10:04.513122_2,3,1884,2022-01-12
2022-01-12T07:10:04.513122_3,1,1460,2022-01-12
2022-01-12T07:10:04.513122_4,3,1570,2022-01-12
2022-01-12T07:10:04.513122_5,1,1886,2022-01-12
2022-01-13T07:10:04.513122_0,1,1234,2022-01-13
2022-01-13T07:10:04.513122_1,3,1856,2022-01-13
2022-01-13T07:10:04.513122_2,1,1765,2022-01-13
2022-01-14T07:10:04.513122_0,1,1335,2022-01-14
2022-01-14T07:10:04.513122_1,1,1511,2022-01-14
2022-01-14T07:10:04.513122_2,1,1294,2022-01-14
2022-01-14T07:10:04.513122_3,3,1798,2022-01-14
2022-01-14T07:10:04.513122_4,1,1402,2022-01-14
2022-01-14T07:10:04.513122_5,2,1310,2022-01-14
2022-01-15T07:10:04.513122_0,1,1361,2022-01-15
2022-01-15T07:10:04.513122_1,3,1513,2022-01-15
2022-01-15T07:10:04.513122_10,1,1595,2022-01-15
2022-01-15T07:10:04.513122_11,3,1636,2022-01-15
2022-01-15T07:10:04.513122_12,1,1164,2022-01-15
2022-01-15T07:10:04.513122_13,3,1074,2022-01-15
2022-01-15T07:10:04.513122_2,3,1997,2022-01-15
2022-01-15T07:10:04.513122_3,1,1232,2022-01-15
2022-01-15T07:10:04.513122_4,3,1487,2022-01-15
2022-01-15T07:10:04.513122_5,1,1250,2022-01-15
2022-01-15T07:10:04.513122_6,3,1580,2022-01-15
2022-01-15T07:10:04.513122_7,2,1307,2022-01-15
2022-01-15T07:10:04.513122_8,3,1307,2022-01-15
2022-01-15T07:10:04.513122_9,2,1632,2022-01-15
2022-01-15T07:10:04.514120_14,2,1367,2022-01-15
2022-01-15T07:10:04.514120_15,1,1636,2022-01-15
2022-01-15T07:10:04.514120_16,2,1900,2022-01-15
2022-01-15T07:10:04.514120_17,1,1087,2022-01-15
2022-01-15T07:10:04.514120_18,2,1030,2022-01-15
2022-01-15T07:10:04.514120_19,3,1402,2022-01-15
2022-01-15T07:10:04.514120_20,1,1972,2022-01-15
2022-01-15T07:10:04.514120_21,3,1761,2022-01-15
2022-01-15T07:10:04.514120_22,1,1406,2022-01-15
2022-01-15T07:10:04.514120_23,2,1272,2022-01-15
2022-01-16T07:10:04.514120_0,2,1761,2022-01-16
2022-01-16T07:10:04.514120_1,2,1506,2022-01-16
2022-01-16T07:10:04.514120_10,1,1368,2022-01-16
2022-01-16T07:10:04.514120_11,1,1368,2022-01-16
2022-01-16T07:10:04.514120_12,2,1460,2022-01-16
2022-01-16T07:10:04.514120_13,3,1371,2022-01-16
2022-01-16T07:10:04.514120_14,1,1520,2022-01-16
2022-01-16T07:10:04.514120_15,1,1625,2022-01-16
2022-01-16T07:10:04.514120_16,2,1368,2022-01-16
2022-01-16T07:10:04.514120_17,3,1942,2022-01-16
2022-01-16T07:10:04.514120_18,2,1234,2022-01-16
2022-01-16T07:10:04.514120_19,3,1294,2022-01-16
2022-01-16T07:10:04.514120_2,2,1928,2022-01-16
2022-01-16T07:10:04.514120_20,3,1331,2022-01-16
2022-01-16T07:10:04.514120_21,2,1200,2022-01-16
2022-01-16T07:10:04.514120_22,2,1595,2022-01-16
2022-01-16T07:10:04.514120_3,3,1100,2022-01-16
2022-01-16T07:10:04.514120_4,1,1310,2022-01-16
2022-01-16T07:10:04.514120_5,2,1792,2022-01-16
2022-01-16T07:10:04.514120_6,3,1298,2022-01-16
2022-01-16T07:10:04.514120_7,3,1289,2022-01-16
2022-01-16T07:10:04.514120_8,3,1856,2022-01-16
2022-01-16T07:10:04.514120_9,2,1997,2022-01-16
2022-01-17T07:10:04.514120_0,2,1013,2022-01-17
2022-01-17T07:10:04.514120_1,2,1335,2022-01-17
2022-01-17T07:10:04.514120_2,3,1361,2022-01-17
2022-01-17T07:10:04.514120_3,3,1333,2022-01-17
2022-01-17T07:10:04.514120_4,3,1367,2022-01-17
2022-01-17T07:10:04.514120_5,2,1675,2022-01-17
2022-01-17T07:10:04.514120_6,1,1540,2022-01-17
2022-01-17T07:10:04.514120_7,2,1335,2022-01-17
2022-01-18T07:10:04.514120_0,2,1967,2022-01-18
2022-01-18T07:10:04.514120_1,2,1222,2022-01-18
2022-01-18T07:10:04.514120_2,3,1856,2022-01-18
2022-01-18T07:10:04.514120_3,3,1366,2022-01-18
2022-01-18T07:10:04.514120_4,2,1923,2022-01-18
2022-01-18T07:10:04.514120_5,1,1406,2022-01-18
2022-01-18T07:10:04.514120_6,2,1454,2022-01-18
2022-01-18T07:10:04.514120_7,1,1928,2022-01-18
2022-01-18T07:10:04.514120_8,1,1013,2022-01-18
2022-01-19T07:10:04.514120_0,2,1650,2022-01-19
2022-01-19T07:10:04.514120_1,2,1522,2022-01-19
2022-01-19T07:10:04.514120_2,1,1650,2022-01-19
2022-01-19T07:10:04.514120_3,3,1385,2022-01-19
2022-01-19T07:10:04.514120_4,2,1570,2022-01-19
2022-01-19T07:10:04.514120_5,1,1361,2022-01-19
2022-01-19T07:10:04.514120_6,1,1207,2022-01-19
2022-01-19T07:10:04.514120_7,1,1194,2022-01-19
2022-01-19T07:10:04.514120_8,1,1997,2022-01-19
2022-01-19T07:10:04.514120_9,2,1402,2022-01-19
2022-01-20T07:10:04.514120_0,3,1194,2022-01-20
2022-01-20T07:10:04.514120_1,1,1366,2022-01-20
2022-01-20T07:10:04.514120_2,3,1331,2022-01-20
2022-01-20T07:10:04.514120_3,1,1520,2022-01-20
2022-01-20T07:10:04.514120_4,2,1372,2022-01-20
2022-01-20T07:10:04.514120_5,3,1795,2022-01-20
2022-01-20T07:10:04.514120_6,3,1234,2022-01-20
2022-01-21T07:10:04.514120_0,2,1030,2022-01-21
2022-01-21T07:10:04.514120_1,3,1568,2022-01-21
2022-01-21T07:10:04.514120_2,1,1272,2022-01-21
2022-01-21T07:10:04.514120_3,2,1406,2022-01-21
2022-01-21T07:10:04.514120_4,3,1684,2022-01-21
2022-01-22T07:10:04.514120_0,3,1454,2022-01-22
2022-01-22T07:10:04.514120_1,1,1307,2022-01-22
2022-01-22T07:10:04.514120_2,1,1367,2022-01-22
2022-01-22T07:10:04.514120_3,2,1798,2022-01-22
2022-01-22T07:10:04.514120_4,2,1540,2022-01-22
2022-01-22T07:10:04.514120_5,2,1967,2022-01-22
2022-01-22T07:10:04.514120_6,1,1061,2022-01-22
2022-01-22T07:10:04.515120_10,3,1900,2022-01-22
2022-01-22T07:10:04.515120_11,2,1164,2022-01-22
2022-01-22T07:10:04.515120_12,3,1886,2022-01-22
2022-01-22T07:10:04.515120_13,1,1697,2022-01-22
2022-01-22T07:10:04.515120_14,2,1335,2022-01-22
2022-01-22T07:10:04.515120_15,3,1372,2022-01-22
2022-01-22T07:10:04.515120_16,1,1251,2022-01-22
2022-01-22T07:10:04.515120_17,1,1706,2022-01-22
2022-01-22T07:10:04.515120_7,2,1765,2022-01-22
2022-01-22T07:10:04.515120_8,1,1570,2022-01-22
2022-01-22T07:10:04.515120_9,1,1721,2022-01-22
2022-01-23T07:10:04.515120_0,2,1595,2022-01-23
2022-01-23T07:10:04.515120_1,2,1336,2022-01-23
2022-01-23T07:10:04.515120_10,3,1925,2022-01-23
2022-01-23T07:10:04.515120_11,1,1761,2022-01-23
2022-01-23T07:10:04.515120_12,1,1570,2022-01-23
2022-01-23T07:10:04.515120_13,3,1335,2022-01-23
2022-01-23T07:10:04.515120_14,3,1333,2022-01-23
2022-01-23T07:10:04.515120_15,1,1865,2022-01-23
2022-01-23T07:10:04.515120_16,3,1310,2022-01-23
2022-01-23T07:10:04.515120_17,2,1234,2022-01-23
2022-01-23T07:10:04.515120_18,1,1580,2022-01-23
2022-01-23T07:10:04.515120_19,3,1272,2022-01-23
2022-01-23T07:10:04.515120_2,3,1031,2022-01-23
2022-01-23T07:10:04.515120_20,2,1142,2022-01-23
2022-01-23T07:10:04.515120_3,1,1310,2022-01-23
2022-01-23T07:10:04.515120_4,1,1372,2022-01-23
2022-01-23T07:10:04.515120_5,3,1660,2022-01-23
2022-01-23T07:10:04.515120_6,3,1898,2022-01-23
2022-01-23T07:10:04.515120_7,2,1549,2022-01-23
2022-01-23T07:10:04.515120_8,3,1298,2022-01-23
2022-01-23T07:10:04.515120_9,1,1520,2022-01-23
2022-01-24T07:10:04.515120_0,2,1134,2022-01-24
2022-01-24T07:10:04.515120_1,2,1632,2022-01-24
2022-01-24T07:10:04.515120_2,1,1100,2022-01-24
2022-01-25T07:10:04.515120_0,3,1207,2022-01-25
2022-01-25T07:10:04.515120_1,3,1010,2022-01-25
2022-01-25T07:10:04.515120_2,1,1928,2022-01-25
2022-01-25T07:10:04.515120_3,2,1856,2022-01-25
2022-01-25T07:10:04.515120_4,1,1684,2022-01-25
2022-01-25T07:10:04.515120_5,3,1366,2022-01-25
2022-01-25T07:10:04.515120_6,2,1289,2022-01-25
2022-01-25T07:10:04.515120_7,1,1973,2022-01-25
2022-01-25T07:10:04.515120_8,1,1298,2022-01-25
2022-01-25T07:10:04.515120_9,2,1335,2022-01-25
2022-01-26T07:10:04.515120_0,2,1506,2022-01-26
2022-01-26T07:10:04.515120_1,2,1194,2022-01-26
2022-01-26T07:10:04.515120_2,3,1385,2022-01-26
2022-01-27T07:10:04.515120_0,3,1272,2022-01-27
2022-01-27T07:10:04.515120_1,3,1030,2022-01-27
2022-01-27T07:10:04.515120_2,3,1207,2022-01-27
2022-01-27T07:10:04.515120_3,3,1061,2022-01-27
2022-01-27T07:10:04.515120_4,2,1487,2022-01-27
2022-01-27T07:10:04.515120_5,2,1570,2022-01-27
2022-01-27T07:10:04.515120_6,2,1855,2022-01-27
2022-01-28T07:10:04.515120_0,2,1030,2022-01-28
2022-01-28T07:10:04.515120_1,1,1589,2022-01-28
2022-01-28T07:10:04.515120_2,2,1251,2022-01-28
2022-01-28T07:10:04.515120_3,3,1294,2022-01-28
2022-01-28T07:10:04.515120_4,3,1310,2022-01-28
2022-01-29T07:10:04.515120_0,1,1251,2022-01-29
2022-01-29T07:10:04.515120_1,2,1413,2022-01-29
2022-01-29T07:10:04.515120_10,2,1487,2022-01-29
2022-01-29T07:10:04.515120_11,3,1520,2022-01-29
2022-01-29T07:10:04.515120_12,2,1549,2022-01-29
2022-01-29T07:10:04.515120_13,1,1402,2022-01-29
2022-01-29T07:10:04.515120_14,2,1795,2022-01-29
2022-01-29T07:10:04.515120_15,1,1074,2022-01-29
2022-01-29T07:10:04.515120_16,3,1272,2022-01-29
2022-01-29T07:10:04.515120_17,2,1298,2022-01-29
2022-01-29T07:10:04.515120_18,2,1232,2022-01-29
2022-01-29T07:10:04.515120_19,2,1489,2022-01-29
2022-01-29T07:10:04.515120_2,1,1992,2022-01-29
2022-01-29T07:10:04.515120_3,3,1568,2022-01-29
2022-01-29T07:10:04.515120_4,1,1368,2022-01-29
2022-01-29T07:10:04.515120_5,3,1164,2022-01-29
2022-01-29T07:10:04.515120_6,2,1675,2022-01-29
2022-01-29T07:10:04.515120_7,2,1765,2022-01-29
2022-01-29T07:10:04.515120_8,3,1697,2022-01-29
2022-01-29T07:10:04.515120_9,3,1589,2022-01-29
2022-01-30T07:10:04.515120_0,3,1310,2022-01-30
2022-01-30T07:10:04.515120_1,3,1366,2022-01-30
2022-01-30T07:10:04.515120_10,1,1194,2022-01-30
2022-01-30T07:10:04.515120_11,1,1333,2022-01-30
2022-01-30T07:10:04.515120_12,3,1684,2022-01-30
2022-01-30T07:10:04.515120_13,3,1792,2022-01-30
2022-01-30T07:10:04.515120_14,2,1706,2022-01-30
2022-01-30T07:10:04.515120_15,2,1292,2022-01-30
2022-01-30T07:10:04.515120_16,2,1761,2022-01-30
2022-01-30T07:10:04.515120_17,3,1721,2022-01-30
2022-01-30T07:10:04.515120_18,2,1625,2022-01-30
2022-01-30T07:10:04.515120_19,2,1997,2022-01-30
2022-01-30T07:10:04.515120_2,1,1570,2022-01-30
2022-01-30T07:10:04.515120_20,3,1294,2022-01-30
2022-01-30T07:10:04.515120_3,1,1413,2022-01-30
2022-01-30T07:10:04.515120_4,3,1368,2022-01-30
2022-01-30T07:10:04.515120_5,3,1898,2022-01-30
2022-01-30T07:10:04.515120_6,2,1368,2022-01-30
2022-01-30T07:10:04.515120_7,1,1282,2022-01-30
2022-01-30T07:10:04.515120_8,3,1997,2022-01-30
2022-01-30T07:10:04.515120_9,1,1660,2022-01-30
2022-01-31T07:10:04.515120_0,3,1030,2022-01-31
2022-01-31T07:10:04.515120_1,3,1595,2022-01-31
2022-01-31T07:10:04.515120_2,1,1294,2022-01-31
2022-01-31T07:10:04.515120_3,2,1250,2022-01-31
2022-01-31T07:10:04.515120_4,2,1881,2022-01-31
2022-01-31T07:10:04.515120_5,1,1331,2022-01-31
2022-02-01T07:10:04.515120_0,2,1101,2022-02-01
2022-02-01T07:10:04.515120_1,2,1200,2022-02-01
2022-02-01T07:10:04.516120_2,3,1765,2022-02-01
2022-02-01T07:10:04.516120_3,3,1475,2022-02-01
2022-02-01T07:10:04.516120_4,3,1721,2022-02-01
2022-02-01T07:10:04.516120_5,2,1522,2022-02-01
2022-02-01T07:10:04.516120_6,2,1413,2022-02-01
2022-02-01T07:10:04.516120_7,2,1165,2022-02-01
2022-02-01T07:10:04.516120_8,2,1925,2022-02-01
2022-02-01T07:10:04.516120_9,1,1010,2022-02-01
2022-02-02T07:10:04.516120_0,3,1298,2022-02-02
2022-02-02T07:10:04.516120_1,1,1251,2022-02-02
2022-02-02T07:10:04.516120_2,2,1272,2022-02-02
2022-02-02T07:10:04.516120_3,1,1085,2022-02-02
2022-02-02T07:10:04.516120_4,2,1222,2022-02-02
2022-02-03T07:10:04.516120_0,1,1164,2022-02-03
2022-02-03T07:10:04.516120_1,3,1414,2022-02-03
2022-02-03T07:10:04.516120_2,2,1010,2022-02-03
2022-02-03T07:10:04.516120_3,3,1282,2022-02-03
2022-02-03T07:10:04.516120_4,1,1701,2022-02-03
2022-02-03T07:10:04.516120_5,3,1134,2022-02-03
2022-02-03T07:10:04.516120_6,3,1549,2022-02-03
2022-02-04T07:10:04.516120_0,3,1164,2022-02-04
2022-02-04T07:10:04.516120_1,2,1142,2022-02-04
2022-02-05T07:10:04.516120_0,3,1336,2022-02-05
2022-02-05T07:10:04.516120_1,3,1250,2022-02-05
2022-02-05T07:10:04.516120_10,1,1636,2022-02-05
2022-02-05T07:10:04.516120_11,3,1422,2022-02-05
2022-02-05T07:10:04.516120_12,3,1765,2022-02-05
2022-02-05T07:10:04.516120_13,2,1031,2022-02-05
2022-02-05T07:10:04.516120_14,3,1371,2022-02-05
2022-02-05T07:10:04.516120_15,1,1620,2022-02-05
2022-02-05T07:10:04.516120_16,2,1636,2022-02-05
2022-02-05T07:10:04.516120_17,3,1589,2022-02-05
2022-02-05T07:10:04.516120_18,2,1540,2022-02-05
2022-02-05T07:10:04.516120_19,2,1298,2022-02-05
2022-02-05T07:10:04.516120_2,2,1335,2022-02-05
2022-02-05T07:10:04.516120_3,1,1506,2022-02-05
2022-02-05T07:10:04.516120_4,3,1520,2022-02-05
2022-02-05T07:10:04.516120_5,2,1721,2022-02-05
2022-02-05T07:10:04.516120_6,2,1489,2022-02-05
2022-02-05T07:10:04.516120_7,3,1165,2022-02-05
2022-02-05T07:10:04.516120_8,3,1452,2022-02-05
2022-02-05T07:10:04.516120_9,1,1900,2022-02-05
2022-02-06T07:10:04.516120_0,1,1277,2022-02-06
2022-02-06T07:10:04.516120_1,2,1292,2022-02-06
2022-02-06T07:10:04.516120_10,2,1701,2022-02-06
2022-02-06T07:10:04.516120_11,1,1522,2022-02-06
2022-02-06T07:10:04.516120_12,3,1207,2022-02-06
2022-02-06T07:10:04.516120_13,3,1697,2022-02-06
2022-02-06T07:10:04.516120_14,1,1487,2022-02-06
2022-02-06T07:10:04.516120_2,1,1684,2022-02-06
2022-02-06T07:10:04.516120_3,2,1385,2022-02-06
2022-02-06T07:10:04.516120_4,3,1234,2022-02-06
2022-02-06T07:10:04.516120_5,1,1366,2022-02-06
2022-02-06T07:10:04.516120_6,2,1928,2022-02-06
2022-02-06T07:10:04.516120_7,1,1568,2022-02-06
2022-02-06T07:10:04.516120_8,2,1232,2022-02-06
2022-02-06T07:10:04.516120_9,2,1367,2022-02-06
2022-02-07T07:10:04.516120_0,1,1886,2022-02-07
2022-02-07T07:10:04.516120_1,2,1031,2022-02-07
2022-02-07T07:10:04.516120_2,3,1992,2022-02-07
2022-02-07T07:10:04.516120_3,3,1475,2022-02-07
2022-02-08T07:10:04.516120_0,1,1992,2022-02-08
2022-02-08T07:10:04.516120_1,1,1898,2022-02-08
2022-02-09T07:10:04.516120_0,3,1886,2022-02-09
2022-02-09T07:10:04.516120_1,1,1460,2022-02-09
2022-02-10T07:10:04.516120_0,2,1346,2022-02-10
2022-02-10T07:10:04.516120_1,1,1232,2022-02-10
2022-02-10T07:10:04.516120_2,1,1636,2022-02-10
2022-02-10T07:10:04.516120_3,3,1506,2022-02-10
2022-02-10T07:10:04.516120_4,3,1513,2022-02-10
2022-02-10T07:10:04.516120_5,3,1207,2022-02-10
2022-02-10T07:10:04.516120_6,3,1031,2022-02-10
2022-02-10T07:10:04.516120_7,1,1697,2022-02-10
2022-02-10T07:10:04.516120_8,2,1361,2022-02-10
2022-02-11T07:10:04.516120_0,1,1570,2022-02-11
2022-02-11T07:10:04.516120_1,1,1013,2022-02-11
2022-02-11T07:10:04.516120_2,2,1636,2022-02-11
2022-02-11T07:10:04.516120_3,3,1795,2022-02-11
2022-02-11T07:10:04.516120_4,1,1522,2022-02-11
2022-02-11T07:10:04.516120_5,2,1346,2022-02-11
2022-02-11T07:10:04.516120_6,1,1207,2022-02-11
2022-02-11T07:10:04.516120_7,3,1925,2022-02-11
2022-02-11T07:10:04.516120_8,3,1142,2022-02-11
2022-02-12T07:10:04.516120_0,1,1310,2022-02-12
2022-02-12T07:10:04.516120_1,3,1697,2022-02-12
2022-02-12T07:10:04.516120_10,3,1522,2022-02-12
2022-02-12T07:10:04.516120_11,2,1406,2022-02-12
2022-02-12T07:10:04.516120_12,3,1371,2022-02-12
2022-02-12T07:10:04.516120_13,1,1792,2022-02-12
2022-02-12T07:10:04.516120_14,1,1368,2022-02-12
2022-02-12T07:10:04.516120_15,2,1282,2022-02-12
2022-02-12T07:10:04.516120_16,2,1865,2022-02-12
2022-02-12T07:10:04.516120_17,1,1422,2022-02-12
2022-02-12T07:10:04.516120_18,3,1620,2022-02-12
2022-02-12T07:10:04.516120_2,1,1475,2022-02-12
2022-02-12T07:10:04.516120_3,2,1595,2022-02-12
2022-02-12T07:10:04.516120_4,3,1898,2022-02-12
2022-02-12T07:10:04.516120_5,1,1030,2022-02-12
2022-02-12T07:10:04.516120_6,3,1366,2022-02-12
2022-02-12T07:10:04.516120_7,3,1765,2022-02-12
2022-02-12T07:10:04.516120_8,3,1061,2022-02-12
2022-02-12T07:10:04.516120_9,1,1336,2022-02-12
2022-02-13T07:10:04.516120_0,2,1452,2022-02-13
2022-02-13T07:10:04.516120_1,2,1798,2022-02-13
2022-02-13T07:10:04.516120_10,2,1402,2022-02-13
2022-02-13T07:10:04.516120_11,2,1923,2022-02-13
2022-02-13T07:10:04.516120_12,1,1660,2022-02-13
2022-02-13T07:10:04.516120_13,3,1549,2022-02-13
2022-02-13T07:10:04.516120_14,1,1085,2022-02-13
2022-02-13T07:10:04.516120_15,3,1298,2022-02-13
2022-02-13T07:10:04.516120_16,2,1928,2022-02-13
2022-02-13T07:10:04.516120_17,3,1570,2022-02-13
2022-02-13T07:10:04.516120_18,2,1509,2022-02-13
2022-02-13T07:10:04.516120_19,2,1030,2022-02-13
2022-02-13T07:10:04.516120_2,3,1134,2022-02-13
2022-02-13T07:10:04.516120_20,2,1792,2022-02-13
2022-02-13T07:10:04.516120_3,1,1101,2022-02-13
2022-02-13T07:10:04.516120_4,2,1194,2022-02-13
2022-02-13T07:10:04.516120_5,2,1973,2022-02-13
2022-02-13T07:10:04.516120_6,3,1234,2022-02-13
2022-02-13T07:10:04.516120_7,3,1928,2022-02-13
2022-02-13T07:10:04.516120_8,1,1164,2022-02-13
2022-02-13T07:10:04.516120_9,3,1506,2022-02-13
2022-02-14T07:10:04.516120_0,3,1942,2022-02-14
2022-02-14T07:10:04.517117_1,1,1997,2022-02-14
2022-02-14T07:10:04.517117_2,3,1697,2022-02-14
2022-02-14T07:10:04.517117_3,2,1721,2022-02-14
2022-02-14T07:10:04.517117_4,2,1798,2022-02-14
2022-02-14T07:10:04.517117_5,1,1506,2022-02-14
2022-02-14T07:10:04.517117_6,3,1232,2022-02-14
2022-02-14T07:10:04.517117_7,3,1972,2022-02-14
2022-02-15T07:10:04.517117_0,2,1234,2022-02-15
2022-02-16T07:10:04.517117_0,3,1336,2022-02-16
2022-02-16T07:10:04.517117_1,1,1452,2022-02-16
2022-02-16T07:10:04.517117_2,3,1580,2022-02-16
2022-02-16T07:10:04.517117_3,1,1298,2022-02-16
